index;track_number;name;album;year;duplicated;duration_ms;duration_s;acousticness;danceability;energy;key;tempo;time_signature;valence;mode;lyrics
0;1;Movimiento;Salvavidas de hielo;2017;FALSE;231653;23.165.333;0.9;0.784;0.457;2.0;125.021;4.0;0.546;1.0;Apenas nos pusimos en dos pies Comenzamos a migrar por la sabana Siguiendo la manada de bisontes Más allá del horizonte A nuevas tierras, lejanas Los niños a la espalda y expectantes Los ojos en alerta, todo oídos Olfateando aquel desconcertante paisaje nuevo, desconocido Somos una especie en viaje No tenemos pertenencias sino equipaje Vamos con el polen en el viento Estamos vivos porque estamos en movimiento Nunca estamos quietos, somos trashumantes Somos padres, hijos, nietos y bisnietos de inmigrantes Es más mío le que sueño que lo que toco Yo no soy de aquí Pero tú tampoco Yo no soy de aquí Pero tú tampoco De ningún lado del todo De todos lados un poco Atravesamos desiertos, glaciares, continentes El mundo entero de extremo a extremo Empecinados, supervivientes El ojo en el viento y en las corrientes La mano firme en el remo Cargamos con nuestras guerras Nuestras canciones de cuna Nuestro rumbo hecho de versos De migraciones, de hambrunas Y así ha sido siempre, desde el infinito Fuimos la gota de agua viajando en el meteorito Cruzamos galaxias, vacío, milenios Buscábamos oxígeno, encontramos sueños Apenas nos pusimos en dos pies Y nos vimos en la sombra de la hoguera Escuchamos la voz del desafío Siempre miramos el río Pensando en la otra rivera Somos una especie en viaje No tenemos pertenencias sino equipaje Vamos con el polen en el viento Estamos vivos porque estamos en movimiento Nunca estamos quietos, somos trashumantes Somos padres, hijos, nietos y bisnietos de inmigrantes Es más mío le que sueño que lo que toco [Coro] Yo no soy de aquí Pero tú tampoco Yo no soy de aquí Pero tú tampoco De ningún lado del todo y De todos lados un poco [Outro] Lo mismo con las canciones, los pájaros, los alfabetos Si quieres que algo se muera, déjalo quieto
1;2;Telefonía;Salvavidas de hielo;2017;FALSE;184963;18.496.354;0.829;0.915;0.592;6.0;126.06;4.0;0.841;0.0;Que viva la telefonía En todas sus variantes Pensando estaba que te me escabullías Cuando vi tu nombre en la llamada entrante Bendita cada onda, cada cable Bendita radiación de las antenas Mientras sea tu voz la que me hable Como me hablaste hace un minuto apenas Te quiero, te querré, te quise siempre Desde antes de saber que te quería Te dejo este mensaje simplemente Para repetirte algo que yo sé que vos sabías Perdonen que insista en elogiar las telecomunicaciones Aunque todos creen Que han inventado algo Y siguen siendo las mismas las canciones Benditos los rollos de papiro Benditas servilletas de los bares Que han guardado idénticos suspiros Desde el cantar de los cantares Te quiero, te querré, te quise siempre Desde antes de saber que te quería Te dejo este mensaje simplemente Para repetirte algo que yo sé que vos sabías Noches en vela, nombres en clave Cuántos secretos, versos galantes Mil confesiones delirantes Pasan milenios, cambian los nombres de los amantes Cambian el atuendo, pero el mensaje sigue siendo Te quiero, te querré, te quise siempre Desde antes de saber que te quería Te dejo este mensaje simplemente Para repetirte algo que yo sé que vos sabías
2;3;Silencio;Salvavidas de hielo;2017;FALSE;207986;20.798.667;0.263;0.887;0.568;4.0;127.923;4.0;0.127;0.0;Todo el mundo intentando venderte algo Intentando comprarte Queriendo meterte en su melodrama Su karma, su cama, su salto a la fama Su breve momento de gloria Sus dos megas de memoria Subirte a su nube Como un precio que sube Para luego exhibirte Como un estandarte No encuentro nada más valioso que darte Nada más elegante Que este instante De silencio Silencio El índice vertical entre la boca y la nariz El eco en la catedral La brisa en la enredadera Entremos en el sonido hasta el penúltimo matiz Hagámosle caso al gesto de la foto de la enfermera Y cuando el ruido vuelva a saturar la antena Y una sirena rompa la noche, inclemente No encontraremos nada más pertinente Que decirle a la mente Detente Silencio Silencio Shh, shh, shh Shh, shh, shh, shhhh Shh, shh, shh Shh, shh, shh, shhhh Bésame ahora Antes que diga algo completamente inadecuado No hay que desperdiciar una buena ocasión De quedarse callado Silencio Shh, shh, shh Shh, shh, shh, shhhh Shh, shh, shh Shh, shh, shh, shhhh Y cuando el ruido vuelva a saturar la antena Y una sirena rompa la noche, inclemente No encontraremos nada más pertinente Que decirle a la mente Detente Silencio Silencio Silencio Silen- Silencio Silen- Silencio -cio Silen- Silencio
3;4;Pongamos que hablo de Martínez;Salvavidas de hielo;2017;FALSE;182453;18.245.333;0.893;0.849;0.458;9.0;119.95;4.0;0.461;1.0;Fuimos cerrando, uno a uno cuatro bares Montevideo, ya hacía rato, amanecía Voz me augurabas oropeles y ultramares Y al regresar del baño, ¿quién no te creería? Desorientado y confundiendo vocaciones Yo estaba preso en mi alegría diletante Me fui a Madrid, con mi guitarra y mis canciones Haciendo caso a tu consejo delirante Y hoy que pasaron 22 diciembres ya De aquella noche loca que selló mi suerte Esta canción - más vale tarde que jamás - La escribo para agradecerte Y aunque se bien que con tu empaque de Alatriste Te da pudor la confesión de borrachera Creo que sabes que el regalo que me hiciste Me cambió la vida entera Te quiero mucho más de lo que te lo cuento Te veo mucho menos de lo que quisiera Y como yo, una jauría de sedientos Que fuiste recogiendo por la carretera Te debo la "Milonga del moro judío" Y otra turné por el Madrid de los excesos Donde aprendí a domar más de cien desvaríos Y a robar más de mil besos Tengo el detalle de camuflar tu apellido Y quien lo quiera adivinar, que lo adivine Para nombrar a quien estoy agradeciendo Pongamos que hablo de Martínez Y aunque se bien que con tu empaque de Alatriste Te da pudor la confesión de borrachera Creo que sabes que el regalo que me hiciste Me cambió la vida entera Creo que sabes que el regalo que me hiciste Me cambió la vida entera
4;5;Estalactitas;Salvavidas de hielo;2017;FALSE;261066;26.106.667;0.797;0.772;0.63;0.0;136.019;4.0;0.909;1.0;El tiempo era entonces dinamita Vivíamos colgados como estalactitas Tu rimel era el mapa del dorado No había visto nunca nada parecido Usabas el perfume de un ciclón dormido Y un carmín completamente arrebatado Que me miraras así y llevarte lejos Era todo lo que quería Lejos de las miradas que nos encuentre la luz del día Con tu boca descubriéndose en la mía Na-na-na-na-na-na-na-na Na-na-na-na-na-na-na-na Na-na-na-na-na-na-na-na Muriéndome de sed en aquel desierto Montevideo era un libro abierto Y la música, una jungla de jazmines Yo iba con los tímpanos en las estrellas Dispuesto al fondo blanco con la seda aquella Y a besarnos en el fondo de los cines Y con el tintinear de tus cien pulseras Cada vez que te arreglabas el pelo Supe que mordería la vida entera aquel anzuelo Dos espaldas recostadas en el cielo Na-na-na-na-na-na-na-na Y en los bolsillos nada más que Na-na-na-na-na-na-na-na Tiempo, tiempo Na-na-na-na-na-na-na-na Y en los bolsillos nada más que Na-na-na-na-na-na-na-na Tiempo, tiempo Na-na-na-na-na-na-na-na Y en los bolsillos nada más que Na-na-na-na-na-na-na-na Tiempo, tiempo Na-na-na-na-na-na-na-na Y en los bolsillos nada más que Na-na-na-na-na-na-na-na Tiempo, todo el tiempo Na-na-na-na-na-na-na-na Y en los bolsillos nada más que Na-na-na-na-na-na-na-na Tiempo, tiempo Na-na-na-na-na-na-na-na Y en los bolsillos nada más que Na-na-na-na-na-na-na-na Tiempo, todo el tiempo
5;6;Asilo (feat. Mon Laferte);Salvavidas de hielo;2017;FALSE;183880;183.88;0.808;0.502;0.239;0.0;127.484;5.0;0.367;1.0;Dame una noche de asilo en tu regazo Esta noche, por ejemplo, dejemos al mundo afuera Abre tus brazos, ciérralos conmigo dentro Solo unas horas y luego cuando amanezca yo pondré una cafetera Y habré llevado esta nube hacia otro cielo de nubes pasajeras Si el sueño pierde pie, resbala, queda colgando de un hilo Prefiero una noche entera en vela, a tener el alma en vilo Dame una noche de asilo Dame una noche de asilo Dame un remanzo Yo te daré lo que tengo Este amor que no me explico Pasan los años, y sigue a espaldas del tiempo Quiero que me hables del tiempo Que te desnudes como si fuera algo corriente Como si verte desnuda no me aturdiera tan sistemáticamente Tu piel me sea desconocida, me deja siempre intranquilo Prefiero lamer después mis heridas a que tu amor pierda filo Dame una noche de asilo Dame una noche de asilo Dame una noche de asilo Dame una noche de asilo Dame una noche de asilo Dame una noche de asilo Dame una noche de asilo Dame una noche de asilo
6;7;Abracadabras (feat. Julieta Venegas);Salvavidas de hielo;2017;FALSE;218040;218.04;0.816;0.763;0.532;7.0;96.116;4.0;0.42;1.0;Ponemos nota sobre nota Palabra sobre palabra Con un deseo preciso Que surta efecto el hechizo de nuestros abracadabras Noctámbulas y consentidas Ladronas de mariposas Dejamos que el tiempo pase Buscando dar a una frase esa fuerza misteriosa ¿Y a dónde van las canciones que soltamos en el viento? Llevando a qué corazones, quién sabe qué sentimientos Quien tenga un verso que dar Que abra la mano y lo entregue Que a la flor de la poesía No hay melancolía que no la riegue Un rumor, alguna nueva emoción para naufragar Con esta voz que bien, quisiera darle la vuelta al sol Noctambulas y consentidas Ladronas de maripoasas Dejamos que el tiempo pase Buscando dar a una frase esa fuerza misteriosa ¿Y a dónde van las canciones que soltamos en el viento? Llevando a qué corazones, quién sabe qué sentimientos Quien tenga un verso que dar Que abra la mano y lo entregue Que a la flor de la poesía No hay melancolía que no la riegue
7;8;Mandato;Salvavidas de hielo;2017;FALSE;292293;29.229.333;0.574;0.776;0.607;0.0;100.967;4.0;0.937;1.0;Desde lo profundo de los cromosomas De los asistentes a la discoteca Un mandato transparente, brota Como el agua de una fuente, claro Poderoso aunque silente Va llenando las copas de vagas promesas Y aunque no se escuche no hay ni un solo gesto Ni un solo suspiro, ni un solo segundo Frente al espejo del baño, rime Que el mandato no gobierne, viernes Desde su puesto de mando En la noche ira encajando las piezas Todo poderosa sed de tiempo Viva en cada célula del polen Desde lo profundo de los cromosomas De los asistentes a la discoteca Un mandato transparente, brota Como el agua de una fuente, claro Poderoso aunque silente Va llenando las copas de vagas promesas Y aunque no se escuche no hay ni un solo gesto Ni un solo suspiro, ni un solo segundo Frente al espejo del baño, rime Que el mandato no gobierne, viernes Desde su puesto de mando En la noche ira encajando las piezas Todo poderosa sed de tiempo Viva en cada célula del polen Todo poderosa sed de tiempo Viva en cada célula del polen Todo poderosa sed de tiempo (Tienes los ojos de tu) Tátara-tátara-tátara-tátara-tátara-tátara-buela Viva en cada célula del polen Tátara-tátara-tátara-tátara-tátara-tátara-buela Todo poderosa sed de tiempo Tátara-tátara-tátara-tátara-tátara-tátara-buela Viva en cada célula del polen Tátara-tátara-tátara-tátara-tátara-tátara-buela Todo poderosa sed de tiempo Viva en cada célula del polen Todo poderosa sed de tiempo Viva en cada célula del polen Todo poderosa sed de tiempo Viva en cada célula del polen
8;9;Despedir a los glaciares;Salvavidas de hielo;2017;FALSE;217413;21.741.333;0.557;0.428;0.576;7.0;112.595;4.0;0.143;1.0;Una gota rueda sobre el hielo y cuelga sobre el vacío Por su propio peso acaba por caer dentro del río El tiempo que todo lo cura, también todo lo derrite Y vuelve de nuevo el hielo como un pulso que se repite Y cuando el momento llegue honremos nuestras heridas Celebremos la belleza que se aleja hacia otras vidas Y aunque la pena nos hiera que no nos desamparare Y que encontremos la manera de despedir a los glaciares Que encontremos la manera de despedir a los glaciares Aprendimos a abrigarnos midiéndonos con el hielo Y le fuimos dando nombres, dijimos: "Piedra de cielo" Y el planeta tiritó siete mil generaciones Pasando del agua al hielo y del frío a las canciones Y cuando el momento llegue honremos nuestras heridas Levantemos nuestras copas por una causa perdida Y un aleluya recorra las pantallas de los bares Y encontremos la manera de despedir a los glaciares Encontremos la manera de despedir a los glaciares Encontremos la manera de despedir a los glaciares Que encontremos la manera de despedir a los glaciares
9;10;Quimera;Salvavidas de hielo;2017;FALSE;218520;218.52;0.894;0.831;0.486;11.0;87.023;4.0;0.427;0.0;Te salgo a buscar quimera Mariposa de papel Te pienso seguir buscando la vida entera Soy un pescador de sueños Soy un catador de auroras No cuento más que con mi empeño y esta pluma voladora La vida cantando nubes Buscando que el cielo rime Dejando la hoja en blanco Cicatrices que el tiempo imprime Te salgo a buscar quimera Mariposa de papel Te pienso seguir buscando la vida entera Soy un pescador de sueños Soy un catador de auroras No cuento más que con mi empeño y esta pluma voladora La vida cantando nubes Buscando que el cielo rime Dejando la hoja en blanco Cicatrices que el tiempo imprime No cuento más que con mi empeño y esta pluma voladora No cuento más que con mi empeño y esta pluma voladora No cuento más que con mi empeño y esta pluma voladora
