artist;title;lyrics
Kevin Johansen;Acción!;"  La escena empieza con un hombre que se esconde De sí mismo Corte a persecusión donde ambos no se caen en un abismo Pasamos a un camino lleno de señales sin sentido Por él va una pareja confundida y vamos a un fundido  Ella lo quiere y él también a él, pero no saben cómo Demostrarlo Ella lo quiere, pero no saben...vamos a otro plano ya... El director requiere atención pero nadie lo escucha Solo una chica haciendo el catering que parece muy ducha Y los protagonistas en sus trailers juegan al backgammon Mientras el asistente desesperado grita ""Come on, come on!""  Él no la quiere y ella sabe bien que lo que tendría que hacer es irse Él no la quiere...que lo que tiene que hacer es tomársela  En vez de un largometraje va a ser más bien un cortito Porque ella se dió cuenta a tiempo de que no le importa Un pito Y aunque ella se come la película, no se la come...  "
Kevin Johansen;All I Wanna Do Is You;  Waste my time just thinking of, drinking of you Lose my time just hoping for, doping for you ‘Cause all I really want to do is you... I work like crazy and I try to concentrate But all I do is think of our possible fate ‘Cause all I really want to do is you... I wake the days, I walk the nights I pray to the moon, I'm in my right And I hope that time is on my side ‘Cause all I wanna do is... Woman, here's a soldier, fighting a war Against everyone, reality has become His worst enemy, now, you're his muse You're his ammunition, so give To his cause, make your contribution To his and your love! Another day, another dime Another dream, another crime ‘Cause that's what it is, baby To waste my precious little time When all I wanna do is you...  
Kevin Johansen;Alta, fea y linda;  Era alta, fea y linda Todo en contra y todo a favor Alta, fea y linda Viento en contra y todos a estribor  No sé que vi Que nadie más vió Porque era alta, fea y linda Todo en contra y muy poco a favor  Alta, fea y linda Viento en popa y a todo vapor No sé que vi, que nadie más vió Ni que sentí que nadie sintió  Le sonreí como un gil Ella me vio y retribuyó No sé que fue Ni como pasó Pero ella vio en mi Algo que nadie en el mundo vió  Alta, fea y linda Me la llevé o me llevó A un rincón que nadie vió No sé que fue Como pasó Ella vio en mi Algo que nadie en el mundo vio  Alta, fea y linda Todo en contra y todo a favor Alta, fea y linda Viento en popa y a todo vapor  No sé que vi y que sentí Que nadie más vió Porque era alta, fea y linda  
Kevin Johansen;Amistad de borrachera;"  Amistad de borrachera se llama ésta Amistad de borrachera se llamará Hasta que dure la resaca seré tu hermano Si te he visto no me acuerdo en la sobriedad  No es bueno que nadie esté solo ni mal acompañado Y creo que en estos dos minutos ya hemos conectado También siento que un lazo fraternal nos ha ido ""enfraternando"" Será una amistad hasta el final o hasta que llegues al baño  Amistad…  Aaaaaaamistad de borrachera!!!! Amistad… Qué resaca!!! si te he visto no me acuerdo, má qué sobriedad Si no andamos ni sobrios ni nada desde hace un buen tiempito!!! Y pá qué quiero la tumba si tu ya me enterraste en vida  "
Kevin Johansen;Amor finito;  Cuando el amanecer dejo de amenazar Nació la mañana Y tu parecer cambio de parecer Como si nada  Y una estrella fugaz Que el cielo atravesó sin un testigo Pasando ese umbral que no se animo a cruzar  Tú amor finito Se acabará  Tú amor finito Se acabará  Se acabará... Esta noche  Cuando el amanecer dejo de amenazar Llegó la mañana Y tu parecer cambio de parecer Como si nada  Y una estrella fugaz Que el cielo atravesó sin un testigo Pasando ese umbral que no se animo a cruzar  Tú amor finito Se acabará  Tú amor finito Se acabará  Se acabará... Se acabó Se acabó  Cuando el amanecer dejo de amenazar Nació la mañana  
Kevin Johansen;Amor finito - en vivo;  Cuando el amanecer dejo de amenazar Nació la mañana Y tu parecer cambio de parecer Como si nada  Y una estrella fugaz Que el cielo atravesó sin un testigo Pasando ese umbral que no se animo a cruzar  Tú amor finito Se acabará  Tú amor finito Se acabará  Se acabará... Esta noche  Cuando el amanecer dejo de amenazar Llegó la mañana Y tu parecer cambio de parecer Como si nada  Y una estrella fugaz Que el cielo atravesó sin un testigo Pasando ese umbral que no se animo a cruzar  Tú amor finito Se acabará  Tú amor finito Se acabará  Se acabará... Se acabó Se acabó  Cuando el amanecer dejo de amenazar Nació la mañana  
Kevin Johansen;Anoche soñé contigo;  Anoche soñé contigo y no estaba durmiendo Todo lo contrario, estaba bien despierto Soñé que no hacía falta hacer ningún esfuerzo Para que te entregaras y en ti, yo estaba inmerso…  Qué lindo que es soñar! Soñar no cuesta nada Soñar y nada más… Con los ojos abiertos Qué lindo que es soñar! Y no te cuesta nada más que tiempo…  ¿Qué hacer con tanta angustia, por cosas no resueltas… Con toda esta energía, casi siempre mal puesta? Si pudiera olvidarme por siempre de mí mismo Habrías de encontrarme allí en tu dulce abismo Qué lindo que es soñar! Soñar no cuesta nada Soñar y nada más… Con los ojos abiertos Qué lindo que es soñar! Y no te cuesta nada más que tiempo…  
Kevin Johansen;Anoche soñe contigo - en vivo;  Anoche soñé contigo y no estaba durmiendo Todo lo contrario, estaba bien despierto Soñé que no hacía falta hacer ningún esfuerzo Para que te entregaras y en ti, yo estaba inmerso… Qué lindo que es soñar! Soñar no cuesta nada Soñar y nada más… Con los ojos abiertos Qué lindo que es soñar! Y no te cuesta nada más que tiempo… ¿Qué hacer con tanta angustia, por cosas no resueltas… Con toda esta energía, casi siempre mal puesta? Si pudiera olvidarme por siempre de mí mismo Habrías de encontrarme allí en tu dulce abismo Qué lindo que es soñar! Soñar no cuesta nada Soñar y nada más… Con los ojos abiertos Qué lindo que es soñar! Y no te cuesta nada más que tiempo… Soñé que no hacía falta hacer ningún esfuerzo Para que te entregaras y en ti, yo estaba inmerso… Qué lindo que es soñar! Soñar no cuesta nada Soñar y nada más… Con los ojos abiertos Qué lindo que es soñar! Y no te cuesta nada más que tiempo… Anoche soñé contigo...  
Kevin Johansen;Apocalypso;  Si se mueve todo el piso, ponte liso Baila el Apocalypso  No trates de entenderlo Porque no vas a entender No intentes detenerlo Porque no vas a poder No trates de obtener dinero Porque no vas a tener No intentes ser tan cool Porque no lo vas a ser  Anyway Yo no sé nada hermano Anyway, no sabés, 'tamo a mano Eso me dijo  No te hagas el rebelde Si te gustan los Beldents No te hagas el solitario Si te gusta con varios No vengas con ese orgullo De los yuyos, son tuyos No puedo creer lo que hacen con Arjona Los dreadlocks  Anyway Yo no sé nada hermano Qué va a ser, no sabés, 'tamo a mano That's what he told me  Si se mueve todo el piso Ponte liso Baila el Apocalypso Si se mueve el piso Ponte liso Baila el Apoca…  El elefante bebé grita “mami, tsunami” Y los hombres tan inteligentes No lo vimos ni venir Siempre tan rápidos Echándole la culpa a los otros Cuando todo el mundo sabe que La plaga somos nosotros  Anyway Yo no sé nada hermano Qué va a ser, no sabés, 'tamo a mano Eso me dijo  Si se mueve todo el piso Ponte liso Baila el Apocalypso Si se mueve el piso Ponte liso Baila el Apoca…  A hacer el amor Que se acaba el mundo Que se acaba el mundo sin amor Si se acaba el mundo sin amor Si se acaba el mundo  Si se mueve todo el piso Ponte liso Baila el Apocalypso Si se mueve el piso Ponte liso Baila el Apoca…  
Kevin Johansen;Atahualpa, You Funky!;  Atahualpa Yupanqui! Atahualpa, you Funky!  
