lyrics;title
"El misterio estaba allí
En aquella casa color ladrillo
Un faro rojo en la puerta
Y un letrero amarillo
Era una abarrotería de amor
Unos billetes para conocer el sabor
De una cama compartida
Con damas sin nombre
Con el fantasma de la virginidad
El ahorro perdio la dignidad
Rompí la alcancía
Toqué la puerta y entré
No hubo celos ni suegras
Ni tuve que invitarlas al cine
No hubo escenas ni cuñados
Y menos un maldito abogado
Era todo democracia
No había edad ni clases sociales
Si cumpliís con la tarifa
Tenías tu pedacito de cielo
Cuatro besos, medio kilo de amor
Dos abrazos y un litro de sudor
Una abarrotería de amor
Allí encontre a mi maestro de escuela
A un ginecólogo y a un intelectual
A tres cantautores borrachos
Y a un gobernador
No te pongas nervioso me dijo
Una chica vestida de rojo
Entré a su cuarto como un chiquillo
Y al salir fui un señor
En la escuela me hablaban de Colón
Y de las tablas de multiplicación
Pero no mencionaron
Como es que se hace el amor
No hubo celos ni suegras
Ni tuve que invitarlas al cine
No hubo escenas ni cuñados
Y menos un maldito abogado
Era todo democracia
No habia edad ni clases sociales
Si cumplías con la tarifa
Tenias tu pedacito de cielo
Cuatro besos, medio kilo de amor
Dos abrazos y un litro de sudor
Una abarrotería de amor
";Abarroteria de amor
"El azar es la metáfora perfecta
De quien le busca inspiración a la tristeza
El destino es la coartada sigilosa
De quien lo pretende todo y nunca acierta
Mientas el futuro asoma su perfil
El presente se debate con la muerte
Como quien se juega el todo por el todo
Como una moneda puesta al viento
Jugando siempre
Apostando siempre a cara o cruz
Ante la encrucijada revisas las cosas que pudieron pasar
Y que se suspendieron por verlas girando en el tiempo
A cara o cruz
Te jugaste los besos, los sueños, el llanto y la tortura mortal
De ignorar el futuro y escoger al amor de tu vida
A cara o cruz
Mientras que en la ventana se escurre el tiempo
Mientras la moneda da vueltas al viento
Un beso te perfuma la existencia
Mujer de corazón partido en dos
Dime a cual mitad yo pertenezco
Lo que para ti es tremenda encrucijada
Para mi es amar la incertidumbre
Lo que para ti es borron y cuenta nueva
Para mi es principio o final
Jugando siempre
Apostando siempre a cara o cruz
Ante la encrucijada revisas las cosas que pudieron pasar
Y que se suspendieron por verlas girando en el tiempo
A cara o cruz
Te jugaste los besos, los sueños, el llanto y la tortura mortal
De ignorar el futuro y escoger al amor de tu vida
A cara o cruz
Mientras que en la ventana se escurre el tiempo
Se escurre el tiempo
A cara o cruz
";A cara o cruz
"Acompáñame a estar solo
A purgarme los fantasmas
A meternos en la cama sin tocarnos
Acompáñame al misterio
De no hacernos compañía
A dormir sin pretender que pase nada
Acompáñame a estar solo
Acompáñame al silencio
De charlar sin las palabras
A saber que estás ahí y yo a tu lado
Acompáñame a lo absurdo
De abrazarnos sin contacto
Tú en tu sitio yo en el mío
Como un ángel de la guarda
Acompáñame a estar solo
Acompáñame
A decir sin las palabras
Lo bendito que es tenerte
Y serte infiel solo con esta soledad
Acompáñame
A quererte sin decirlo
A tocarte sin rozar ni el reflejo
De tu piel a contraluz
A pensar en mí para vivir por ti
Acompáñame a estar solo
Acompáñame a estar solo
Para calibrar mis miedos
Para envenenar de a poco mis recuerdos
Para quererme un poquito
Y así quererte como quiero
Para desintoxicarme del pasado
Acompáñame a estar solo
Acompáñame
A decir sin las palabras
Lo bendito que es tenerte
Y serte infiel solo con esta soledad
Acompáñame
A quererte sin decirlo
A tocarte sin rozar ni el reflejo de tu piel a contraluz
A pensar en mí para vivir por ti
Acompáñame a estar solo
Y si se apagan las luces
Y si se enciende el infierno
Y si me siento perdido
Se que tú estarás conmigo
Con un beso de rescate
Acompáñame a estar solo
";Acompáñame a Estar Solo
"Acompáñame a estar solo
A purgarme los fantasmas
A meternos en la cama sin tocarnos
Acompáñame al misterio
De no hacernos compañía
A dormir sin pretender que pase nada
Acompáñame a estar solo
Acompáñame al silencio
De charlar sin las palabras
A saber que estas ahí y yo a tu lado
Acompáñame a lo absurdo de abrazarnos sin contacto
Tu en tu sitio yo en el mio
Como un ángel de la guarda
Acompáñame a estar solo
Acompáñame
A decir sin las palabras
Lo bendito que es tenerte
Y serte infiel solo con esta soledad
Acompáñame
A quererte sin decirlo
A tocarte sin rozar ni el reflejo
De tu piel a contraluz
A pensar en mi para vivir por ti
Acompáñame a estar solo
Acompáñame a estar solo
Para calibrar mis miedos
Para envenenar de a poco mis recuerdos
Para quererme un poquito
Y así quererte como quiero
Para desintoxicarme del pasado
Acompáñame a estar solo
Acompáñame
A decir sin las palabras
Lo bendito que es tenerte
Y serte infiel solo con esta soledad
Acompáñame
A quererte sin decirlo
A tocarte sin rozar ni el reflejo
De tu piel a contraluz
A pensar en mi para vivir por ti
Acompáñame a estar solo
Y si se apagan las luces
Y si se enciende el infierno
Y si me siento perdido
Se que tu estarás conmigo
Con un beso de rescate
Acompáñame a estar solo
Acompáñame
A decir sin las palabras
Lo bendito que es tenerte
Y serte infiel por esta vez
Acompáñame
A quererte sin decirlo
A tocarte sin rozar ni el reflejo
De tu piel a contraluz
A pensar en mi para vivir por ti
Por esta vez
Acompañame a estar solo
";Acompñame a estar solo - en vivo
"Tengo un domingo en stand by, por si algÃºn lunes te deprime
Y en la cartera un Ã¡nfora que guarda olor a ti
Tengo boletos de primera fila, para verte despertar por las maÃ±anas
Tengo la firme convicciÃ³n, de que si estÃ¡s me consolido
Y la sospecha de que ni sospechas cuanto te amo
Tengo tu foto puesta en la pupila
Y con tu voz baila el estribo, el yunque y el martillo
Tengo risas, tengo llantos, tengo un termostato
Que me enciende cuando estÃ¡s
Y que me apaga si te vas
Pa` no morir de la nostalgia
AdiÃ³s melancolÃ­a
Gracias por la compaÃ±Ã­a
Pero aquÃ­ ya no hay mas sitio para usted
AdiÃ³s melancolÃ­a
Le agradezco la poesÃ­a
Que entre versos hoy me deja confesarle a esta mujer
Que me saque la loterÃ­a cuando la vi
Tengo una dosis de perdÃ³n, por si haces algo que me duela
Y una canciÃ³n de mÃ¡s por si algÃºn dÃ­a la echas de menos
Tengo un stock de besos sin estreno
Y un camiÃ³n de amor del bueno, para ti
Tengo risas, tengo llantos, tengo un termostato
Que me enciende cuando estÃ¡s
Y que me apaga si te vas
Pa` no morir de la nostalgia
AdiÃ³s melancolÃ­a
Gracias por la compaÃ±Ã­a
Pero aquÃ­ ya no hay mas sitio para usted
AdiÃ³s melancolÃ­a
Le agradezco la poesÃ­a
Que entre versos hoy me deja confesarle a esta mujer
Que me saque la loterÃ­a cuando la vi
Hoy cuelgo mis sueÃ±os en el pearcing de tu ombligo
Mientras la melancolÃ­a observa y es testigo
Quiere estar segura, un poco por ti
Un poco por mÃ­, un poco por celos
AdiÃ³s melancolÃ­a
Gracias por la compaÃ±Ã­a
Pero aquÃ­ ya no hay mas sitio para usted
AdiÃ³s melancolÃ­a
Le agradezco la poesÃ­a
Que entre versos hoy me deja confesarle a esta mujer
Que me saque la loterÃ­a cuando la vi
Tengo agua de mar en la baÃ±era, y en la cama aire de cordillera
Tengo sol de mayo en la nevera, y flores de abril en la escalera
Tengo un cuarto lleno en primavera, y un beso esperando en la trinchera
Un jarrÃ³n que llora cuando espera, y te tengo a ti por donde quiera
Y te tengo a ti por donde quiera
";Adios Melancolia
"Me despierto y pedaleo
Soy ciclista en este viaje
Tomo el vuelo en una calle
Y perforo alguna nube
En mi viaje hasta la luna
Ir a la luna en bicicleta
Es mas fácil que olvidarte
Mas solo que el escarcha
Cuando ya se fue la niebla
Y el sol la desbarata
Mas débil que la anemia
Mas tonto que un disparo
Mas suicida que un minuto
Mas tarde que mañana
Voy derrapando en la banqueta
A la luna en bicicleta
Pedaleando hasta morir
A treparme de un cometa
A rearmar con tu silueta
La galaxia que perdí
Aterrizo en la cornisa de un satélite perdido
Tan perdido como el tiempo
Que me gasto en encontrarle
Quinta pata a un gato cojo
Ir a la luna en bicicleta
No es cuestión de ir a buscarte
Es cuestión de distraer esta sangre que circula
Sin tener ningún motivo
Mas triste que estar triste
Mas lejos que el pasado
Mas inútil que un consejo
Mas tarde que mañana
Voy derrapando en la banqueta
A la luna en bicicleta
Pedaleando hasta morir
A treparme de un cometa
A rearmar con tu silueta
La galaxia que perdí
Voy intentando hallar un modo
De seguir sin recordar
Escapándome de todo
Y perderme mientras voy
Voy derrapando en la banqueta
A la luna en bicicleta
Pedaleando hasta morir
A treparme de un cometa
A rearmar con tu silueta
La galaxia que perdí
";A la Luna en Bicicleta
"A la medida de mis temores
De mis defectos y frustraciones
Apareciste aquella noche
Con Blusa Blanca y traje oscuro
A la medida de tantos sueños
Que caen al piso y se diluyen
A la medida de cada pliegue
Del cuerpo tuyo esta hecho el mio
A la medida de tus deseos
Están mis ganas de sofocarlos
A la medida
Estamos hechos a la medida
A la medida
Como dos aguas del mismo rio
A la medida
A la medida tu y yo
A la medida
A la medida de tus complejos
Están los míos para entenderse
Tu tienes alas que vuelan poco
Yo tengo sueños que no aterrizan
A la medida de tus secretos
Es mi silencio pa' conservarlos
A la medida de tu cintura
Están mis brazos para abrazarla
A la medida de mi pasado
Es tu presente para olvidarlo
A la medida
Estamos hechos a la medida
A la medida
Como dos aguas del mismo rio
A la medida
A la medida tu y yo
A la medida
A la medida
Estamos hechos a la medida
A la medida
Como dos aguas del mismo rio
A la medida
A la medida tu y yo
A la medida
A la medida tu y yo
A la medida
";A la medida - versión demo
"Dibujando caracolas en la luna
Canalizo la fortuna de existir
Cargando esta mochila de cemento
Dudas, dudas, culpas pa' seguir
No hay respeto por la izquierda
Da lo mismo miel o mierda
Hoy resulta que un milico es liberal
Tambi
";Aleluya
"Amarte a ti no es lo mejor, lo tengo claro
Habiendo tantas cosas por hacer, menos traumáticas
Como hallarle figuras a las nubes
O como ir al cine o no hacer nada
Amarte a ti no es lo mejor, pero me gusta
Quizás estoy jugando como siempre al masoquista
En ves de distraerme con el fútbol
O con el Internet como hacen todos
Amarte a ti no es lo mejor, pero es perfecto
Para encontrarle algún sentido a esta rutina
De ser por siempre solo un ciudadano
Solo uno mas
Amarte a ti me hace sufrir, que buena suerte
Para acordarme de que existo y de que siento
Para tener en que pensar todas las noches
Para vivir
Amarte a ti es un veneno que da vida
Es una antorcha que se enciende si se apaga
Es lo sublime junto con lo idiota
Es lo que siento y a quién le importa
Amarte a ti es la verdad más mentirosa
Es lo mejor de lo peor que me ha pasado
Es la ruleta rusa por un beso
Es lo de siempre improvisado
Amarte a ti es un error dice un amigo
Que cree que ser feliz es estar libre
Y se pierde del matiz que da lo incierto
Amarte a ti
Es la embajada de un instante en mi cerebro
Es también haberte odiado un par de veces
Amarte a ti es un absurdo y lo sabemos
Y así será... Mientras nos dure
";Amarte A Ti
"Amo la costura de tu falda
Amo la estrucuta de tu espalda
Amo lo que ves y lo que tocas
Amo lo que no es y lo provocas
Amo tu frialdad ante la vida
Amo tu verdad aunque es mentira
Amo mucho mas que tu belleza
Te amo si te vas o si regresas
Amo la cicatriz en tu rodilla
Y ese lunar gris en tu barbilla
Si no fuera porque estas metida adentro
De un televisor de 6 a 7
Te diria lo que siento por dentro
Cada vez que te besa un mequetrefe
Me enamore de la diva de la tele
Como es de idiota el amor y como duele
Ayer te vi de prisa y fue en vivo
Y descubri que tu sonrisa era de archivo
Me fui tras de ti para tocarte
Y lo que consegui fue enfadarte
Descubri que era ficticio el lunar gris
Mientras tumbabas la puerta en mi nariz
Tendre que conformarme de 6 a 7
Con so'ar que soy yo ese mequetrefe
Me enamore del papel de una novela
Se que tu no existes y me doy pena
";Amor de Tele
