index;disc_number;duration_ms;id;name;track_number;uri;album;duration_s;acousticness;danceability;energy;key;tempo;time_signature;valence;mode
0;1;257360;43EVN2D60aYJf8PMuGuQH9;El Pianista Del Gueto De Varsovia;1;spotify:track:43EVN2D60aYJf8PMuGuQH9;Sea;257.36;0.152;0.831;0.498;9.0;146.592;4.0;0.447;0.0
1;1;225200;6z98uNlBjkisBUnv5zMQWE;Sea;2;spotify:track:6z98uNlBjkisBUnv5zMQWE;Sea;225.2;0.0138;0.618;0.684;9.0;135.014;4.0;0.465;0.0
2;1;243760;4AnMHETBYUYoZeFJRNnE8n;Causa Y Efecto;3;spotify:track:4AnMHETBYUYoZeFJRNnE8n;Sea;243.76;0.114;0.603;0.684;4.0;80.635;4.0;0.92;1.0
3;1;218186;736D1R1c4aoGcn7ZEmtyH4;Horas;4;spotify:track:736D1R1c4aoGcn7ZEmtyH4;Sea;218.18667;0.602;0.703;0.709;7.0;140.965;4.0;0.924;1.0
4;1;190600;5LgIR0Fzfc9vJy2Yx4WI0P;Crece;5;spotify:track:5LgIR0Fzfc9vJy2Yx4WI0P;Sea;190.6;0.466;0.649;0.51;5.0;174.931;3.0;0.476;1.0
5;1;264293;57ypE3GdN7ZLaZou7JAu9t;Tamborero;6;spotify:track:57ypE3GdN7ZLaZou7JAu9t;Sea;264.29333;0.451;0.833;0.579;11.0;94.008;4.0;0.819;0.0
6;1;220413;68jCHd8ltpjWwj0cDX2G1y;Nada Menos;7;spotify:track:68jCHd8ltpjWwj0cDX2G1y;Sea;220.41333;0.283;0.695;0.514;9.0;132.065;4.0;0.439;1.0
7;1;184546;4UKe38tm5NkRpuFCxwewEe;Me Haces Bien;8;spotify:track:4UKe38tm5NkRpuFCxwewEe;Sea;184.54667;0.327;0.404;0.607;9.0;149.604;3.0;0.576;1.0
8;1;197506;1z38CbWAVCe8mJ9r4uWTAa;Durante;9;spotify:track:1z38CbWAVCe8mJ9r4uWTAa;Sea;197.50667;0.00226;0.608;0.706;1.0;177.914;4.0;0.504;1.0
9;1;191200;2ZjCVvo1K2xcbkw3AJGy9f;Raquel;10;spotify:track:2ZjCVvo1K2xcbkw3AJGy9f;Sea;191.2;0.355;0.743;0.611;9.0;137.986;4.0;0.439;1.0
10;1;169066;1wLaZctzZCnr9NJNZOjcVY;Uno;11;spotify:track:1wLaZctzZCnr9NJNZOjcVY;Sea;169.06667;0.227;0.715;0.686;1.0;130.945;4.0;0.86;1.0
11;1;250520;0cRGphnZkrd7OI6IT0jq6j;Un País Con Un Nombre De Río;12;spotify:track:0cRGphnZkrd7OI6IT0jq6j;Sea;250.52;0.611;0.541;0.447;4.0;171.807;3.0;0.582;1.0
0;1;191466;15F5w6GELfrYu4M4Wq02Nt;De Amor Y De Casualidad;1;spotify:track:15F5w6GELfrYu4M4Wq02Nt;Llueve;191.46667;0.225;0.741;0.564;9.0;117.859;4.0;0.359;1.0
1;1;271666;7lUSRDgAjZ94ex0zN7zh6f;Antes;2;spotify:track:7lUSRDgAjZ94ex0zN7zh6f;Llueve;271.66667;0.436;0.685;0.39;7.0;79.975;4.0;0.481;1.0
2;1;249333;3r1cfu7qDpEP3A80TGDzsH;Llueve;3;spotify:track:3r1cfu7qDpEP3A80TGDzsH;Llueve;249.33333;0.193;0.4;0.471;9.0;64.502;3.0;0.0765;1.0
3;1;266333;547k2vDusDo7KkZSSZ5EgJ;Flores En El Mar;4;spotify:track:547k2vDusDo7KkZSSZ5EgJ;Llueve;266.33333;0.291;0.671;0.444;4.0;137.152;4.0;0.584;1.0
4;1;235000;07mfNNqLik7WIWZqkQGShY;Murga Reggae;5;spotify:track:07mfNNqLik7WIWZqkQGShY;Llueve;235.0;0.803;0.794;0.327;7.0;141.971;4.0;0.547;1.0
5;1;190000;2v7OzJaNF7ZCXrbnsYonGw;No Pienses De Mas;6;spotify:track:2v7OzJaNF7ZCXrbnsYonGw;Llueve;190.0;0.227;0.706;0.608;0.0;120.407;4.0;0.215;1.0
6;1;180000;6jPtBYn3VN1Ooz6F5OSblt;Cara B;7;spotify:track:6jPtBYn3VN1Ooz6F5OSblt;Llueve;180.0;0.881;0.644;0.222;9.0;120.843;3.0;0.213;1.0
7;1;212493;3KqYGGXVWqWP6e7wMhcWKj;La Huella De Tu Mirada;8;spotify:track:3KqYGGXVWqWP6e7wMhcWKj;Llueve;212.49333;0.56;0.651;0.371;0.0;78.718;4.0;0.589;1.0
8;1;211333;7wAX3SMQnz6a5EGk63haiH;Milonga Paraguaya;9;spotify:track:7wAX3SMQnz6a5EGk63haiH;Llueve;211.33333;0.96;0.532;0.121;7.0;84.431;4.0;0.357;1.0
9;1;203000;1ZrUkIAnUCZB7vlXxzrLrK;Tu Piel;10;spotify:track:1ZrUkIAnUCZB7vlXxzrLrK;Llueve;203.0;0.303;0.868;0.367;5.0;130.038;4.0;0.522;0.0
10;1;176173;6SrS9vl9994H54jBT4q4Ff;Paisaje Lunar;11;spotify:track:6SrS9vl9994H54jBT4q4Ff;Llueve;176.17333;0.841;0.699;0.503;5.0;152.933;3.0;0.664;0.0
11;1;449413;1C9GEu2jGZnxVwhp7OjI5s;Montevideo;12;spotify:track:1C9GEu2jGZnxVwhp7OjI5s;Llueve;449.41333;0.892;0.432;5.44e-05;4.0;143.642;4.0;0.158;0.0
0;1;202360;5mp2f2LfC7roht9TKWgPMc;Eco;1;spotify:track:5mp2f2LfC7roht9TKWgPMc;Eco;202.36;0.659;0.641;0.517;4.0;131.955;4.0;0.268;0.0
1;1;224266;6utk08MZqDYbhCN2D63bmC;Deseo;2;spotify:track:6utk08MZqDYbhCN2D63bmC;Eco;224.26667;0.441;0.729;0.408;9.0;76.02;4.0;0.534;0.0
